"id","mes","precipitacion_acumulada"
"NH0046",2000-01-01,83.5
"NH0046",2000-02-01,158.3
"NH0046",2000-03-01,59.5
"NH0046",2000-04-01,236.3
"NH0046",2000-05-01,132.6
"NH0046",2000-06-01,51.4
"NH0046",2000-07-01,6.8
"NH0046",2000-08-01,46.4
"NH0046",2000-09-01,50.6
"NH0046",2000-10-01,104.4
"NH0046",2000-11-01,239.4
"NH0046",2000-12-01,68.6
"NH0046",2001-01-01,177.8
"NH0046",2001-02-01,88.4
"NH0046",2001-03-01,320.8
"NH0046",2001-04-01,140.3
"NH0046",2001-05-01,27.3
"NH0046",2001-06-01,33.5
"NH0046",2001-07-01,0.5
"NH0046",2001-08-01,137.8
"NH0046",2001-09-01,77.3
"NH0046",2001-10-01,183.3
"NH0046",2001-11-01,112.7
"NH0046",2001-12-01,84.5
"NH0046",2002-01-01,56.1
"NH0046",2002-02-01,65.3
"NH0046",2002-03-01,247.1
"NH0046",2002-04-01,107.8
"NH0046",2002-05-01,72.5
"NH0046",2002-06-01,1.5
"NH0046",2002-07-01,31.3
"NH0046",2002-08-01,87.5
"NH0046",2002-09-01,39.7
"NH0046",2002-10-01,276.7
"NH0046",2002-11-01,85.7
"NH0046",2002-12-01,233.6
"NH0046",2003-01-01,40.4
"NH0046",2003-02-01,64.4
"NH0046",2003-03-01,164.9
"NH0046",2003-04-01,119.3
"NH0046",2003-05-01,54.1
"NH0046",2003-06-01,1.3
"NH0046",2003-07-01,68.2
"NH0046",2003-08-01,30.8
"NH0046",2003-09-01,25.6
"NH0046",2003-10-01,68.8
"NH0046",2003-11-01,52.2
"NH0046",2003-12-01,136.7
"NH0046",2004-01-01,112.1
"NH0046",2004-02-01,31.8
"NH0046",2004-03-01,97
"NH0046",2004-04-01,136.3
"NH0046",2004-05-01,62.9
"NH0046",2004-06-01,18.7
"NH0046",2004-07-01,19.2
"NH0046",2004-08-01,9.9
"NH0046",2004-09-01,4.6
"NH0046",2004-10-01,77.9
"NH0046",2004-11-01,69.1
"NH0046",2004-12-01,163.4
"NH0046",2005-01-01,232.4
"NH0046",2005-02-01,78.6
"NH0046",2005-03-01,120.7
"NH0046",2005-04-01,93.6
"NH0046",2005-05-01,11.4
"NH0046",2005-06-01,32.3
"NH0046",2005-07-01,17.1
"NH0046",2005-08-01,39.6
"NH0046",2005-09-01,41.6
"NH0046",2005-10-01,53.3
"NH0046",2005-11-01,64.8
"NH0046",2005-12-01,20.9
"NH0046",2006-01-01,110
"NH0046",2006-02-01,92.6
"NH0046",2006-03-01,107
"NH0046",2006-04-01,216.7
"NH0046",2006-05-01,0
"NH0046",2006-06-01,53.4
"NH0046",2006-07-01,24.9
"NH0046",2006-08-01,0.9
"NH0046",2006-09-01,22.3
"NH0046",2006-10-01,183.1
"NH0046",2006-11-01,126.6
"NH0046",2006-12-01,233.5
"NH0046",2007-01-01,110.8
"NH0046",2007-02-01,139
"NH0046",2007-03-01,262.1
"NH0046",2007-04-01,52.7
"NH0046",2007-05-01,47.9
"NH0046",2007-06-01,8.3
"NH0046",2007-07-01,0
"NH0046",2007-08-01,11
"NH0046",2007-09-01,63
"NH0046",2007-10-01,142.2
"NH0046",2007-11-01,35
"NH0046",2007-12-01,84.9
"NH0046",2008-01-01,104.7
"NH0046",2008-02-01,77.4
"NH0046",2008-03-01,51.6
"NH0046",2008-04-01,26.7
"NH0046",2008-05-01,0
"NH0046",2008-06-01,1.7
"NH0046",2008-07-01,9.5
"NH0046",2008-08-01,0
"NH0046",2008-09-01,40.9
"NH0046",2008-10-01,32.4
"NH0046",2008-11-01,145.2
"NH0046",2008-12-01,18.3
"NH0046",2009-01-01,45.9
"NH0046",2009-02-01,313.1
"NH0046",2009-03-01,104.3
"NH0046",2009-04-01,41.3
"NH0046",2009-05-01,11.8
"NH0046",2009-06-01,0
"NH0046",2009-07-01,36.1
"NH0046",2009-08-01,1.7
"NH0046",2009-09-01,93
"NH0046",2009-10-01,70.2
"NH0046",2009-11-01,148.7
"NH0046",2009-12-01,178.1
"NH0046",2010-01-01,156.9
"NH0046",2010-02-01,204.6
