"id","anio","promedio_anual"
"NH0437",2017,21.0128766073973
"NH0437",2018,20.6426027232877
"NH0437",2019,20.6049314676712
"NH0437",2020,20.6349726483607
"NH0437",2021,20.6360274257534
"NH0437",2022,20.3635616356164
"NH0437",2023,25.3363248290598
"NH0472",1961,17.040625
"NH0472",1962,17.0690934065934
"NH0472",1963,17.844301985755
"NH0472",1964,17.4820359251497
"NH0472",1965,17.2523480690608
"NH0472",1966,17.0910468402204
"NH0472",1967,17.5027397205479
"NH0472",1968,17.8198087431694
"NH0472",1969,18.0139725917808
"NH0472",1970,17.7769862931507
"NH0472",1971,17.1769863068493
"NH0472",1972,17.5882513661202
"NH0472",1973,17.0971232739726
"NH0472",1974,17.4071232958904
"NH0472",1975,17.5716438328767
"NH0472",1976,17.0625683060109
